Bean_Origin,Roast_Level,Flavor_Profile,Customer_Rating,Actual_Price_INR,Competitor_Price_INR,Bean_Cost_INR,Sale_Date
Kenya,Medium,Nutty,-0.5434019198728459,402.24,379.21,150,2024-10-19
Kenya,Medium,Fruity,1.1579190565606154,480.63,461.16,150,2025-06-19
Colombia,Light,Fruity,-1.2239303104462311,412.96,413.09,130,2024-11-13
Brazil,Dark,Floral,-1.564194505732923,303.91,317.18,120,2024-12-23
Guatemala,Medium,Chocolatey,-1.0537982128028849,254.43,234.48,135,2024-11-17
Brazil,Medium,Caramel,0.817654861273923,207.29,199.58,120,2025-06-05
Guatemala,Light,Floral,-0.2031377245861541,489.47,521.01,135,2025-04-10
Colombia,Medium,Floral,-1.0537982128028849,403.06,418.83,130,2025-01-08
Ethiopia,Light,Chocolatey,-0.2031377245861541,397.68,425.55,140,2024-12-12
Colombia,Dark,Fruity,0.3072585683438848,390.66,356.71,130,2025-06-10
Guatemala,Medium,Fruity,-0.8836661151595385,347.53,325.49,135,2025-05-12
Ethiopia,Medium,Caramel,1.328051154203961,393.42,391.14,140,2024-10-26
Ethiopia,Light,Chocolatey,-0.2031377245861541,483.33,478.24,140,2024-11-18
Colombia,Light,Caramel,-0.7135340175161922,483.58,448.49,130,2024-11-01
Colombia,Medium,Fruity,1.328051154203961,416.82,454.21,130,2024-10-07
Brazil,Medium,Chocolatey,1.1579190565606154,210.7,191.2,120,2025-06-15
Guatemala,Dark,Caramel,0.817654861273923,279.43,297.29,135,2025-03-12
Ethiopia,Medium,Chocolatey,0.9877869589172685,435.65,443.17,140,2024-10-28
Ethiopia,Light,Fruity,-0.5434019198728459,371.86,381.45,140,2024-10-24
Ethiopia,Medium,Caramel,1.328051154203961,306.16,311.44,140,2024-07-29
Colombia,Light,Floral,0.47739066598723034,330.48,322.31,130,2025-03-22
Guatemala,Dark,Fruity,-1.0537982128028849,273.86,258.27,135,2025-05-20
Ethiopia,Medium,Floral,0.817654861273923,255.16,234.58,140,2025-02-18
Colombia,Dark,Fruity,-0.3732698222295004,372.37,391.9,130,2024-08-03
Colombia,Light,Chocolatey,-1.564194505732923,287.97,291.56,130,2025-04-16
Ethiopia,Dark,Floral,0.6475227636305774,430.69,395.58,140,2024-07-09
Brazil,Medium,Chocolatey,-1.3940624080895767,486.36,483.28,120,2024-07-01
Brazil,Light,Caramel,-1.0537982128028849,372.79,397.02,120,2025-02-14
Kenya,Light,Caramel,0.6475227636305774,224.79,220.42,150,2024-08-23
Ethiopia,Dark,Caramel,0.817654861273923,247.57,231.75,140,2024-12-06
Brazil,Dark,Nutty,-0.2031377245861541,390.91,408.65,120,2024-12-16
Brazil,Dark,Chocolatey,-0.2031377245861541,251.02,238.49,120,2024-08-07
Ethiopia,Dark,Caramel,1.4981832518473082,335.76,305.18,140,2024-11-24
Ethiopia,Medium,Nutty,1.328051154203961,393.37,427.22,140,2024-08-29
Colombia,Dark,Fruity,0.6475227636305774,376.46,406.1,130,2025-04-04
Brazil,Medium,Nutty,0.9877869589172685,477.11,456.45,120,2025-02-02
Colombia,Medium,Fruity,-1.564194505732923,225.58,246.58,130,2025-01-28
Kenya,Dark,Floral,0.6475227636305774,263.39,268.2,150,2024-12-04
Ethiopia,Dark,Fruity,0.817654861273923,292.32,284.52,140,2024-08-04
Ethiopia,Medium,Nutty,-1.7343266033762692,289.62,263.29,140,2025-05-18
Colombia,Dark,Floral,0.13712647070053777,352.61,350.85,130,2024-07-17
Kenya,Medium,Nutty,0.6475227636305774,206.18,199.44,150,2025-01-19
Colombia,Dark,Caramel,1.4981832518473082,420.81,405.93,130,2025-04-13
Guatemala,Medium,Floral,-1.3940624080895767,209.41,206.6,135,2024-11-18
Ethiopia,Dark,Nutty,-0.3732698222295004,374.85,351.34,140,2024-12-29
Colombia,Dark,Caramel,-1.0537982128028849,292.85,278.51,130,2024-08-21
Colombia,Dark,Floral,-0.5434019198728459,309.75,315.64,130,2024-10-27
Colombia,Dark,Caramel,0.3072585683438848,420.05,386.65,130,2024-07-14
Kenya,Light,Nutty,-0.2031377245861541,233.61,251.95,150,2025-04-02
Brazil,Medium,Nutty,1.4981832518473082,277.06,259.22,120,2025-01-14
Kenya,Dark,Chocolatey,0.13712647070053777,214.61,210.04,150,2025-04-26
Guatemala,Light,Nutty,-0.5434019198728459,378.0,360.66,135,2024-09-06
Brazil,Medium,Fruity,0.6475227636305774,480.34,472.56,120,2025-03-18
Kenya,Medium,Chocolatey,0.9877869589172685,315.89,313.31,150,2025-05-30
Guatemala,Light,Fruity,-1.564194505732923,400.84,429.29,135,2025-03-14
Brazil,Light,Floral,-0.7135340175161922,461.64,468.62,120,2024-11-22
Ethiopia,Medium,Chocolatey,-0.3732698222295004,211.46,215.08,140,2025-05-23
Brazil,Medium,Chocolatey,0.47739066598723034,363.18,344.06,120,2025-06-04
Guatemala,Light,Chocolatey,1.328051154203961,297.4,315.35,135,2024-08-05
Kenya,Medium,Nutty,0.817654861273923,269.89,292.86,150,2025-04-09
Colombia,Dark,Floral,-1.564194505732923,385.1,353.18,130,2024-10-19
Guatemala,Light,Nutty,1.328051154203961,256.23,254.01,135,2024-11-27
Guatemala,Dark,Nutty,0.817654861273923,480.12,522.68,135,2025-05-27
Colombia,Light,Fruity,-0.5434019198728459,282.89,298.75,130,2024-09-16
Guatemala,Dark,Fruity,-1.2239303104462311,352.71,384.06,135,2025-03-15
Brazil,Medium,Floral,-0.033005626942807786,402.65,428.06,120,2025-05-01
Kenya,Medium,Caramel,-1.564194505732923,325.71,350.46,150,2025-05-31
Guatemala,Medium,Floral,-0.8836661151595385,338.45,332.36,135,2025-05-08
Colombia,Light,Chocolatey,-0.2031377245861541,347.88,343.21,130,2025-06-26
Kenya,Medium,Floral,-1.564194505732923,427.08,452.97,150,2025-01-30
Brazil,Light,Nutty,-0.5434019198728459,235.87,251.18,120,2024-10-01
Guatemala,Light,Fruity,-1.2239303104462311,440.21,446.47,135,2024-08-30
Guatemala,Dark,Fruity,-1.7343266033762692,390.62,387.66,135,2025-04-14
Brazil,Medium,Fruity,0.817654861273923,418.92,439.74,120,2024-09-21
Kenya,Dark,Caramel,-0.7135340175161922,219.42,241.07,150,2025-04-10
Colombia,Light,Caramel,-0.3732698222295004,383.88,421.9,130,2025-01-05
Colombia,Light,Chocolatey,-0.033005626942807786,214.37,216.34,130,2025-05-17
Brazil,Light,Chocolatey,-0.5434019198728459,255.33,278.07,120,2024-09-20
Guatemala,Medium,Caramel,0.47739066598723034,448.27,404.2,135,2024-09-03
Kenya,Dark,Caramel,-0.5434019198728459,218.61,216.37,150,2025-03-06
Guatemala,Dark,Nutty,0.6475227636305774,317.65,327.29,135,2025-01-05
Colombia,Medium,Floral,-0.8836661151595385,313.33,286.96,130,2024-12-23
Brazil,Light,Fruity,-1.7343266033762692,486.64,498.42,120,2025-02-20
Colombia,Light,Chocolatey,1.328051154203961,420.05,456.12,130,2025-04-11
Colombia,Medium,Caramel,-1.2239303104462311,220.98,239.75,130,2025-01-02
Ethiopia,Light,Floral,1.1579190565606154,384.26,412.31,140,2024-08-14
Kenya,Medium,Chocolatey,0.47739066598723034,395.54,411.83,150,2025-05-15
Guatemala,Light,Floral,-1.3940624080895767,471.53,434.3,135,2025-06-05
